Tanggal,Akun,Deskripsi_Akun,Debit,Kredit,Keterangan
03-Mar-2025,113,Persediaan Bahan Baku,12250000,,Pembelian bahan baku
03-Mar-2025,111,Kas,,12250000,Pembayaran pembelian
01-Mar-2025,111,Kas,52000000,,Penjualan tunai
01-Mar-2025,112,Piutang Usaha,28000000,,Penjualan kredit
01-Mar-2025,411,Penjualan Produk Teh,,80000000,Penjualan total
08-Mar-2025,111,Kas,48000000,,Penjualan tunai
08-Mar-2025,112,Piutang Usaha,27000000,,Penjualan kredit
08-Mar-2025,411,Penjualan Produk Teh,,75000000,Penjualan total
10-Mar-2025,113,Persediaan Bahan Baku,10800000,,Pembelian bahan baku
10-Mar-2025,111,Kas,,10800000,Pembayaran pembelian
12-Mar-2025,111,Kas,26000000,,Penerimaan piutang
12-Mar-2025,112,Piutang Usaha,,26000000,Pelunasan piutang
15-Mar-2025,111,Kas,50000000,,Penjualan tunai
15-Mar-2025,112,Piutang Usaha,30000000,,Penjualan kredit
15-Mar-2025,411,Penjualan Produk Teh,,80000000,Penjualan total
17-Mar-2025,113,Persediaan Bahan Baku,9250000,,Pembelian bahan baku
17-Mar-2025,111,Kas,,9250000,Pembayaran pembelian
22-Mar-2025,111,Kas,52000000,,Penjualan tunai
22-Mar-2025,112,Piutang Usaha,28000000,,Penjualan kredit
22-Mar-2025,411,Penjualan Produk Teh,,80000000,Penjualan total
24-Mar-2025,113,Persediaan Bahan Baku,11400000,,Pembelian bahan baku
24-Mar-2025,111,Kas,,11400000,Pembayaran pembelian
25-Mar-2025,512,Beban Gaji,136000000,,Gaji karyawan Maret
25-Mar-2025,111,Kas,,136000000,Pembayaran gaji
25-Mar-2025,527,Beban THR,68127018,,THR/bonus Maret
25-Mar-2025,111,Kas,,68127018,Pembayaran THR
29-Mar-2025,111,Kas,45000000,,Penjualan tunai
29-Mar-2025,112,Piutang Usaha,25000000,,Penjualan kredit
29-Mar-2025,411,Penjualan Produk Teh,,70000000,Penjualan total
31-Mar-2025,513,Beban Utilitas,7150000,,Listrik & air
31-Mar-2025,111,Kas,,7150000,Pembayaran utilitas
31-Mar-2025,522,Beban Internet & Komunikasi,450000,,Internet & telepon
31-Mar-2025,111,Kas,,450000,Pembayaran internet
31-Mar-2025,114,Persediaan Kemasan,7500000,,Pembelian kemasan
31-Mar-2025,111,Kas,,7500000,Pembayaran kemasan
31-Mar-2025,511,Beban Bahan Baku,80500000,,Konsumsi bahan baku
31-Mar-2025,113,Persediaan Bahan Baku,,80500000,Penyesuaian persediaan
02-Apr-2025,113,Persediaan Bahan Baku,14600000,,Pembelian bahan baku (musim naik)
02-Apr-2025,111,Kas,,14600000,Pembayaran pembelian
04-Apr-2025,111,Kas,38000000,,Penjualan tunai (turun musim)
04-Apr-2025,112,Piutang Usaha,22000000,,Penjualan kredit
04-Apr-2025,411,Penjualan Produk Teh,,60000000,Penjualan total (turun)
07-Apr-2025,111,Kas,32000000,,Penerimaan piutang
07-Apr-2025,112,Piutang Usaha,,32000000,Pelunasan piutang
09-Apr-2025,113,Persediaan Bahan Baku,15200000,,Pembelian bahan baku
09-Apr-2025,111,Kas,,15200000,Pembayaran pembelian
11-Apr-2025,111,Kas,42000000,,Penjualan tunai
11-Apr-2025,112,Piutang Usaha,18000000,,Penjualan kredit
11-Apr-2025,411,Penjualan Produk Teh,,60000000,Penjualan total
14-Apr-2025,111,Kas,38000000,,Penjualan tunai
14-Apr-2025,112,Piutang Usaha,12000000,,Penjualan kredit
14-Apr-2025,411,Penjualan Produk Teh,,50000000,Penjualan total (terus turun)
16-Apr-2025,113,Persediaan Bahan Baku,13800000,,Pembelian bahan baku
